hair_id,base_x,base_y,tip_x,tip_y,length_px
1,1385.0,962.0,1235.0,966.0,169.64
2,1321.0,1182.0,1188.0,1189.0,146.43
6,1355.0,1038.0,1252.0,1006.0,119.08
2,1353.0,1799.0,1464.0,1833.0,127.91
3,1364.0,1753.0,1470.0,1767.0,120.67
5,1789.0,618.0,1860.0,693.0,109.68
12,1490.0,791.0,1419.0,754.0,86.33
15,1740.0,666.0,1781.0,717.0,69.74
18,2057.0,219.0,2101.0,249.0,59.01
20,1564.0,697.0,1526.0,660.0,55.08
22,1933.0,423.0,1978.0,422.0,48.73
23,1740.0,521.0,1703.0,500.0,47.46
25,1833.0,391.0,1805.0,369.0,39.7
28,1946.0,399.0,1973.0,412.0,32.38
29,1948.0,196.0,1920.0,189.0,31.73
14,1975.0,359.0,2029.0,392.0,68.43
