hair_id,base_x,base_y,tip_x,tip_y,length_px
1,1316.3,49.6,1372.3,34.1,58.17
2,1318.1,115.3,1345.4,115.3,27.35
3,1336.8,176.8,1372.8,175.4,36.03
4,1345.4,245.2,1371.0,244.7,25.53
5,1379.6,531.4,1426.1,523.7,47.13
6,1421.1,612.5,1470.8,587.5,55.65
7,1325.4,610.7,1236.1,618.0,89.63
8,1333.1,573.3,1280.7,587.0,54.17
9,1293.0,272.1,1188.2,307.6,110.7
10,1283.5,164.5,1201.4,180.9,83.67
11,1435.7,637.2,1518.2,641.3,82.6
12,1316.7,547.8,1227.8,552.4,89.0
13,1307.2,480.8,1222.4,492.7,85.6
14,1295.8,378.7,1191.8,405.6,107.34
15,1271.1,191.8,1123.5,206.9,148.44
16,1255.2,106.2,1119.8,122.6,136.36
17,1247.0,63.8,1166.8,68.8,80.38
18,1247.4,34.6,1140.3,43.3,107.46
19,1321.7,705.2,1265.5,699.8,56.44
20,1315.9,718.9,1258.0,707.3,59.0
21,1308.4,782.6,1251.8,777.6,56.81
22,1303.8,811.3,1189.4,801.8,114.83
23,1363.7,870.8,1439.9,865.0,76.37
24,1290.9,883.7,1195.6,878.3,95.45
25,1283.4,934.5,1166.5,911.2,119.23
26,1355.4,950.3,1435.7,960.7,80.98
27,1285.1,983.6,1184.4,975.3,101.05
28,1280.9,1021.5,1193.1,1019.0,87.84
29,1270.5,1069.3,1146.5,1037.3,128.08
30,1345.4,1041.9,1421.6,1053.9,77.1
31,1265.1,1114.3,1181.9,1100.9,84.28
32,1253.5,1164.2,1140.7,1157.5,112.97
33,1313.8,1199.2,1394.5,1212.9,81.89
34,1284.4,1343.7,1356.3,1371.7,77.18
35,1209.5,1382.4,1093.6,1351.4,119.94
36,1207.7,1616.3,1371.0,1708.9,187.67
37,1155.6,1730.4,1263.3,1788.6,122.37
38,1135.8,1758.0,1256.0,1839.0,144.9
39,1048.4,1776.9,982.5,1732.6,79.44
40,1087.6,1834.2,1200.0,1905.3,132.99
41,1021.7,1823.9,982.0,1803.6,44.5
42,998.0,1858.8,950.2,1837.7,52.26
43,978.6,1890.2,927.8,1857.0,60.69
44,1294.3,1327.7,1371.8,1344.1,79.23
45,1265.4,1433.7,1335.6,1459.5,74.81
46,1251.7,1477.6,1336.5,1502.6,88.45
47,1158.6,1570.2,1127.2,1556.9,34.16
